db_file,character_id,primary_name,nationality,basis,evidence
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1_cleanup.db,163,Agelmar,Shienaran,title,the Lord of Fal Dara
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1_cleanup.db,102,Ila,Tuatha'an,explicit,"She was Ila, Raen's wife"
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1_cleanup.db,26,Lan,Malkieri,title,"He is a king, or should have been, al'Lan Mandragoran, Lord of the Seven Towers, Lord of the Lakes, crownless King of the Malkieri."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1_cleanup.db,65,Logain,Ghealdan,explicit,"There was a battle in Ghealdan, and Logain was the victor."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1_cleanup.db,101,Raen,Tuatha'an,explicit,He's the leader of this band. You can call him Seeker if the other sounds odd.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1_cleanup.db,139,Elder Haman,Stedding Shangtai,explicit,"I will go back to Stedding Shangtai immediately, confess everything to Elder Haman"
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1_cleanup.db,138,Loial,Stedding Shangtai,explicit,"Loial, son of Arent son of Halan"
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book1_cleanup.db,103,Aram,Tuatha'an,explicit,The handsome young Tuatha'an had given her a string of blue beads
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book2.db,34,Padan Fain,Lugarder,explicit,"A stranger tried to enter the town. Not of Shienar. By his accent, a Lugarder."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book2.db,159,Siuan Sanche,Tairen,explicit,"The Amyrlin had been born in Tear, of a simple fisherman's family, not a noble House, and her name was Siuan Sanche"
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book2.db,293,Erith,Stedding Tsofu,explicit,"I am Erith, daughter of Iva daughter of Alar. Be welcome. We have had so few human visitors since the stonemasons left Cairhien"
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book2.db,92,Bayle Domon,Illianer,explicit,"Domon breathed heavily; every time he returned from the northcountry he found himself surprised, for all he had been born there, at the early summer heat in Illian."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book2.db,297,Alar,Stedding Tsofu,explicit,"""I am Alar,"" the Ogier woman on the highest chair said when they had finally taken their places beside Verin, ""Eldest of the Elders of Stedding Tsofu."""
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book2.db,295,Juin,Stedding Tsofu,explicit,"""Bring Trayal,"" Alar commanded, and Juin, who had remained by the door, bowed and left. [Chapter ""Stedding Tsofu"", scene with the Elders of Stedding Tsofu]"
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book2.db,25,Moiraine,Cairhienin,explicit,"A manner ingrained growing up in the Royal Palace of Cairhien had been heightened, not submerged, by still more years as an Aes Sedai."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,161,Sheriam Sedai,Saldaea,explicit,"The Mistress of Novices was a slightly plump woman, with the high cheekbones that were common in Saldaea."
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,205,Alanna Mosvani,Arafel,explicit,Alanna is Arafellin. They have strange ideas about honor and debts in Arafel.
C:\Users\javie\OneDrive\Documents\Dev_projects\wot-directory\db\wot_book3.db,375,Samon,Tear,title,High Lord Samon
